Id,SalePrice
1461,123555.17798574758
1462,159769.3731542425
1463,178518.6087788494
1464,205952.94208666703
1465,183328.89805646046
1466,173563.52009256947
1467,181727.6378666575
1468,167096.17016812053
1469,190951.3992443019
1470,121705.96179427474
1471,203388.23328191775
1472,101736.9438009375
1473,97429.60456639901
1474,158881.1606820662
1475,125537.50987602587
1476,360146.44924288546
1477,249094.48771460843
1478,278223.54945663054
1479,274705.36675434076
1480,527806.704906849
1481,353242.0650012813
1482,206796.3039825141
1483,180391.62079246895
1484,168574.18689168556
1485,186471.09620573575
1486,200670.8414803546
1487,331987.3211420419
1488,231381.57319239105
1489,199022.76339453866
1490,244693.81377077755
1491,196959.43168836972
1492,98955.921161964
1493,174014.1568024499
1494,285328.23986107856
1495,286132.4164037766
1496,231718.5475372048
1497,185131.20734017962
1498,170840.2220793035
1499,163274.9123133167
1500,162433.74781318207
1501,180475.78907697968
1502,160005.36916716158
1503,283768.4357466603
1504,247322.77704899444
1505,233653.95822173785
1506,199153.04286597783
1507,266915.1446907752
1508,211015.17377243174
1509,161934.37586273672
1510,147421.68017781412
1511,153503.31777922355
1512,173143.89202645916
1513,141791.52045486044
1514,150624.42836244663
1515,207826.89539620894
1516,150006.93068863213
1517,180942.18415801553
1518,131366.7998195014
1519,217430.94142364615
1520,131370.2294013297
1521,132376.16257162674
1522,177261.43548381882
1523,115222.85687819755
1524,121010.08226320888
1525,124783.86172861469
1526,107971.64243196681
1527,110138.3937958723
1528,138828.71813144872
1529,152800.89530931952
1530,197146.19165378547
1531,103026.73379204265
1532,91732.08956547809
1533,157669.9699305467
1534,122306.61315655471
1535,150879.44595302388
1536,109067.6603388709
1537,65501.766650364436
1538,146751.7296883157
1539,187884.07671998447
1540,97866.79553695084
1541,133899.05362815992
1542,135760.71685688794
1543,193156.74777318572
1544,87342.59687659077
1545,115270.69970484027
1546,131027.05398405441
1547,120131.46955314415
1548,126036.10115089815
1549,120243.83418454851
1550,132648.0964848452
1551,103713.8420007996
1552,142719.05251974342
1553,136118.02595978286
1554,125032.3725090866
1555,161438.4953803569
1556,89664.95320543142
1557,97788.90851330047
1558,104198.0004395521
1559,52552.76750408509
1560,143050.31934597428
1561,128657.97760114029
1562,135620.24561985212
1563,124361.28389534504
1564,160315.91690575803
1565,138395.49187007247
1566,235413.42466385543
1567,78013.94630533674
1568,237114.2006748967
1569,133414.67325321664
1570,131229.23360079539
1571,124794.73736195287
1572,146621.98113790297
1573,246444.44271763603
1574,129151.63519309368
1575,243699.51653527582
1576,261071.69173978487
1577,175585.43744402178
1578,132897.0888864518
1579,148492.9816439885
1580,189743.44968714908
1581,155166.1863534586
1582,125300.70685431975
1583,318610.00876378943
1584,223398.79204418545
1585,140065.5901641095
1586,65509.48677075661
1587,100268.86182393895
1588,157910.8630503204
1589,101425.74576053367
1590,139716.32281967002
1591,98092.26337600873
1592,113552.68500857471
1593,118580.39482493572
1594,130820.9068609863
1595,111415.2701569954
1596,234970.91878944184
1597,186900.5509528172
1598,224858.40194945323
1599,168280.08135977696
1600,155612.17862976948
1601,71392.5870785631
1602,119738.15266877697
1603,66089.16283506692
1604,260909.9349663189
1605,247472.50557314415
1606,176310.14494445306
1607,178617.9588827493
1608,212925.7228640752
1609,185213.4281199845
1610,146018.25604331403
1611,141050.22521144032
1612,171246.14177245222
1613,170484.29896776323
1614,127170.48846899938
1615,96782.3918271426
1616,84769.30178996292
1617,97976.95799219463
1618,124882.84706309786
1619,141492.9111296836
1620,178409.2585855025
1621,139384.72098840226
1622,145855.22923347537
1623,278561.6344422606
1624,220233.10362332937
1625,117606.21416556434
1626,170289.78492687014
1627,193920.48382062596
1628,281336.13548066333
1629,171974.1844760187
1630,354178.23285637243
1631,211864.15928249812
1632,217259.40531948864
1633,164893.2864337363
1634,183289.19391958942
1635,173564.09267242954
1636,153152.6804366669
1637,212303.87127232458
1638,178953.1184370828
1639,185609.17394189158
1640,257116.94880042013
1641,182504.44105768108
1642,236601.01864856915
1643,210420.6584785314
1644,228313.3985066527
1645,213789.21560321058
1646,160678.74855520707
1647,154054.1957285506
1648,125579.17408954313
1649,136768.79469959743
1650,111123.02000156544
1651,123508.19670385004
1652,102236.51807653852
1653,105833.73133441704
1654,150009.985399007
1655,146472.92584925413
1656,142775.74767168882
1657,149290.8531593439
1658,146865.42896402688
1659,124848.37673927995
1660,159419.4851022383
1661,424263.3598789868
1662,411074.97270460054
1663,373542.3468828073
1664,546190.4647904921
1665,289906.8989883859
1666,336395.53643393004
1667,359460.4801353469
1668,323735.7384384723
1669,290548.87968160125
1670,331518.71333793434
1671,276815.8029442608
1672,461787.33118236985
1673,282917.78078681463
1674,243757.75089309292
1675,197259.03546910125
1676,197438.53256598822
1677,209607.30116359208
1678,491114.39435115707
1679,394535.0857029802
1680,319808.77063991677
1681,227934.85523432586
1682,312910.4914615014
1683,185624.7943117462
1684,173831.4999113866
1685,176945.5727031192
1686,171700.82913244318
1687,170776.4959085523
1688,190022.4224146238
1689,198704.25343111472
1690,198050.07478275162
1691,184752.0779843606
1692,251699.0449151474
1693,161552.2114635758
1694,179017.76165246445
1695,156266.8039780213
1696,265912.36713108094
1697,167676.6531696731
1698,339715.29723855725
